"rownum","GrantedEffect","SupportCount","PossibleSupports","EncounterGrantedEffect","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","RequiredLevel","i32_84","SkillFamily","HASH16","HouseIcon"
0,11442,3,[],"","Do Nothing","Do Nothing","Do Nothing","何もしない","아무것도 하지 않기","Não Fazer Nada","Бездействие","No hacer nada","ไม่ทำอะไร","無為而治","This really shouldn't be here...","This really shouldn't be here...","This really shouldn't be here...","これは本当にここにあるべきではない…","이게 여기 있으면 안 되는데...","Isso realmente não deveria estar aqui...","Этого не должно быть здесь...","Esto realmente no debería estar aquí...","มันไม่ควรมาอยู่ตรงนี้เลยนะ...","這不應該在這裡……",1,100,"",51031,""
1,938,2,"[0,1,42,37,38,39,71,72,73,93,94,95,142,154,155,156,168,169,170,171,172,173,239]",939,"Spark","Étincelle","Funken","スパーク","전기불꽃","Centelha","Искра","Chispa","ประกายสายฟ้า","電球","Launches unpredictable sparks that move randomly until they hit an enemy or expire.","Une projection d'étincelles imprévisibles qui se déplacent aléatoirement jusqu'à ce qu'elles touchent un ennemi ou expirent.","Entfesselt unberechenbare Funken, die sich zufällig bewegen, bis sie entweder einen Gegner treffen oder erlöschen.","敵に当たるか、持続時間が尽きるまでランダムに動くスパークを放つ。","적에게 명중하여 폭발할 때까지 천방지축으로 움직이는 전기불꽃을 시전합니다.","Lança centelhas imprevisíveis que se movem aleatoriamente até atingir um inimigo ou desaparecer.","Выпускает искры, которые движутся в случайном направлении, пока не попадут во врага или не истечёт время их существования.","Lanza chispas impredecibles que se mueven al azar hasta que golpean a un enemigo o expiran.","Spark\r\nยิงประกายไฟที่คาดเดาไม่ได้ซึ่งเคลื่อนไปแบบสุ่มจนกว่าจะปะทะศัตรูหรือหมดเวลา","施放出大量變幻莫測的電球，這些電球將會隨機移動直到撞到敵人或是自然消失。",1,100,"",5893,""
2,2429,0,"[11,232,233,234,49,50,51,58]","","Conductivity","Conductivité","Leitfähigkeit","コンダクティビティ","전도성","Condutividade","Проводимость","Conductividad","นำไฟฟ้า","導電","Curses all targets in an area, lowering their lightning resistance and giving them a chance to be shocked when hit.","Maudit tous les ennemis dans la zone ciblée. Cette Malédiction réduit la Résistance à la foudre de ces ennemis et leur donne des Chances d'être Électrocutés lorsqu'ils sont touchés.","Verflucht alle Ziele in einem Bereich, was ihren Blitzwiderstand verringert und eine Chance gewährt, dass diese bei Treffer geschockt werden.","範囲内の敵を呪い、敵の雷耐性を下げ、ヒット時に感電する確率を上げる。","범위 내 모든 대상에게 저주를 걸어 번개 저항을 낮춥니다. 저주 상태에서 피격되는 적은 일정 확률로 감전됩니다.","Amaldiçoa os alvos em uma área, reduzindo sua resistência a raio e tornando-os suscetíveis ao choque quando atingidos.","Проклинает всех врагов в области, cнижая их сопротивление молнии и повышая шанс наложить на них шок при ударе.","Maldice a todos los objetivos en un área para disminuir su resistencia al rayo y otorgarles una probabilidad de ser electrocutados cuando reciben un impacto.","Conductivity\r\nสาปทุกเป้าหมายในพื้นที่ ทำให้พวกมันมีค่าต้านทาน สายฟ้า น้อยลง และทำให้พวกมันมีโอกาสติดสถานะ ช็อค เมื่อถูกปะทะ","詛咒區域內所有目標，降低他們的閃電抗性，並使他們在遭擊中時有一定機率受到感電。",24,100,"",41484,""
3,5385,1,"[6,7,232,233,234,240]","","Orb of Storms","Orbes des orages","Gewittersphäre","オーブオブストーム","폭풍 보주","Orbe Trovejante","Сфера бурь","Orbe de tormentas","ลูกแก้ววายุ","風暴漩渦","Creates a stationary electrical orb that strikes enemies in its area of effect with beams of lightning that can then split to hit more enemies. ","Crée une boule de foudre qui envoie des décharges électriques sur les ennemis dans sa zone d'effet. Ces décharges peuvent se scinder et également toucher d'autres ennemis. Les modificateurs à la vitesse d'incantation augmentent la fréquence des décharges électriques. L'Orbe des orages sera remplacé si vous en lancez un autre.","Erzeugt eine stationäre elektrische Sphäre, die auf Gegner in ihrem Wirkungsbereich Blitzschläge entfesselt, die sich aufteilen können, um weitere Gegner zu treffen. ","範囲内の敵に頻繁に稲妻を放つ固定式の電気のオーブを作成する。稲妻は敵に当たった際に分裂しより多くの敵を攻撃する。","번개 구슬을 생성하여 효과 범위 내의 적들을 번개 광선으로 공격합니다. 광선은 갈라지며 더 많은 적을 명중시킬 수 있습니다.","Cria um orbe elétrico imóvel que atinge inimigos em sua área de efeito com raios elétricos que podem então se dividir para atingir mais inimigos. ","Создаёт неподвижный электрический шар, который постоянно бьёт ближайших врагов молнией, способной затем разделиться в направлении новых врагов. Модификаторы скорости сотворения чар влияют на частоту разрядов. Повторное использование умения создаёт новую сферу.","Crea un orbe eléctrico estacionario que golpea a los enemigos que se encuentran en su área de efecto con haces de rayo que se pueden dividir para impactar a más enemigos.","Orb of Storms\r\nสร้างลูกสายฟ้าแน่นิ่งที่จะปลดปล่อยลำแสงสายฟ้าเพื่อผ่าใส่ศัตรูในพื้นที่ส่งผล ซึ่งสามารถแยกไปปะทะศัตรูเพิ่มเติมได้","產生一個靜止不動的電氣球體，以閃電光束打擊其效果範圍內的敵人，並可裂化來擊中更多敵人。",1,100,1,11879,""
4,3024,2,"[42,71,72,73,232,233,234,52,53,54,11,12,93,94,95,65,66,67,168,169,170]",3025,"Greater Stormcall","Appel de la foudre majeur","Größere Gewitterbeschwörung","グレーターストームコール","상위 폭풍부름","Invocar Tormenta Maior","Призыв бурь","Llamado de tormenta superior","เรียกสายฟ้าชั้นสูง","高階風暴呼喚","Sets markers at many locations. After a short duration, lightning strikes the markers, dealing damage around them.","Un sort qui place des marqueurs à plusieurs emplacements. Après une courte durée, un éclair foudroie les marqueurs, infligeant des dégâts autour d'eux.","Setzt an vielen Zielen Markierungen. Nach einer kurzen Dauer trifft ein Blitzschlag die Markierungen und verursacht in ihrer Umgebung Schaden.","複数地点にマーカーを設置する。短い時間の後に雷がそのマーカーに落ち、周囲にダメージを与える。","여러 지점을 대상으로 설정합니다. 잠시 후 번개가 대상 지역들을 강타하여 주변에 피해를 줍니다.","Sinaliza vários locais. Após um breve período, raios atingem os locais, causando dano ao redor.","Указывает несколько мест. После небольшой задержки в указанные места бьют разряды молнии, нанося урон по области.","Coloca marcadores en varias ubicaciones. Después de una corta duración, un rayo golpea los marcadores e inflige daño a su alrededor.","Greater Stormcall\r\nทำเครื่องหมายที่หลายตำแหน่ง หลังจากระยะเวลาสั้นๆ จะเกิดฟ้าผ่าที่เครื่องหมายเหล่านั้น สร้างความเสียหายในบริเวณรอบๆ","在多個位置設置標記。經過短暫時間後，標記會遭閃電擊中，對周圍造成傷害。",12,100,5,3148,""
5,3026,2,"[42,71,72,73,232,233,234,52,53,54,11,12,93,94,95,65,66,67,168,169,170,241]",3027,"Stormcall","Appel de la foudre","Gewitterbeschwörung","ストームコール","폭풍부름","Invocar Tormenta","Призыв бури","Llamado de tormenta","เรียกสายฟ้า","風暴呼喚","Sets a marker at a location. After a short duration, lightning strikes the marker, dealing damage around it.","Un sort qui place un marqueur à un emplacement. Après une courte durée, un éclair foudroie le marqueur, infligeant des dégâts autour de celui-ci.","Setzt am Ziel eine Markierung. Nach einer kurzen Dauer trifft ein Blitzschlag die Markierung und verursacht in seiner Umgebung Schaden.","指定地点にマーカーを設置する。短い時間の後に雷がそのマーカーに落ち、周囲にダメージを与える。","원하는 지점을 대상으로 설정합니다. 잠시 후 번개가 대상 지역을 강타하여 주변에 피해를 줍니다.","Sinaliza um local. Após um breve período, raios atingem o local, causando dano ao redor.","Указывает место. После небольшой задержки в указанное место бьёт разряд молнии, нанося урон по области.","Coloca un marcador en una ubicación. Después de una corta duración, un rayo golpea el marcador e inflige daño a su alrededor.","Stormcall\r\nทำเครื่องหมายที่ตำแหน่ง หลังจากระยะเวลาสั้นๆ จะเกิดฟ้าผ่าที่เครื่องหมาย สร้างความเสียหายในบริเวณรอบๆ","在一個位置設置一個標記。經過短暫時間後，標記會遭閃電擊中，對其周圍造成傷害。",12,100,5,7549,""
6,2305,2,"[42,37,38,39,71,72,73,93,94,95]","","[DNT] Unused","[DNT] Unused","[DNT] Unused","[DNT] Unused","[DNT] Unused","[DNT] Unused","[DNT] Unused","[DNT] Unused","[DNT] Unused","[DNT] Unused","[DNT] Unused","[DNT] Unused","[DNT] Unused","[DNT] Unused","[DNT] Unused","[DNT] Unused","[DNT] Unused","[DNT] Unused","[DNT] Unused","[DNT] Unused",12,100,"",29533,""
7,2306,2,"[6,7,42,37,38,39,71,72,73,93,94,95,242,86,87,88]",2307,"Arc","Arc électrique","Lichtbogen","アーク","연쇄 번개","Arco Voltaico","Цепь молний","Arco eléctrico","สายฟ้าชิ่ง","電弧","An arc of lightning reaches from the caster to a targeted enemy and chains to other enemies, but not immediately back. Each time the arc chains, it will also chain a secondary arc to another enemy that the main arc has not already hit, which cannot chain further.","Un arc électrique qui s'étend du lanceur à l'ennemi ciblé puis ricoche vers d'autres ennemis. Ne peut ricocher immédiatement vers la dernière cible touchée. Chaque ricochet de l'arc électrique entraîne un arc électrique secondaire qui ricoche vers un autre ennemi que l'arc principal n'a pas déjà touché, cet arc secondaire ne peut ricocher davantage.","Ein Bogen aus Blitzen erstreckt sich vom Wirkenden zu einem ausgewählten Gegner und verkettet sich auf weitere Gegner, jedoch nicht unmittelbar zurück. Jedes Mal, wenn sich der Bogen verkettet, verkettet sich ein sekundärer Bogen auf einen weiteren Gegner, den der Hauptbogen noch nicht getroffen hat, doch dieser Bogen kann sich nicht weiter verketten.","対象となる敵に向かって雷が弧を描いて伸び、近くの敵にも連鎖するが、すぐに戻ってくることはない。アークが連鎖するたびに、メインのアークがまだ攻撃していない別の敵に対して、それ以上連鎖することのない副次的なアークが連鎖する。","시전자로부터 대상 적에게 원호 형태의 번개 줄기가 뻗어 나가 다른 적들에게 연쇄되지만, 직전에 연쇄한 적에게 바로 돌아가지는 않습니다. 연쇄될 때마다 본래의 번개 줄기가 명중하지 않은 다른 적 1명에게 2차 번개 줄기가 연쇄로 뻗어 나가며, 2차 줄기는 다시 연쇄되지 않습니다.","Um arco elétrico sai do conjurador em direção a um inimigo selecionado e se propaga para outros inimigos, mas não retorna imediatamente. Toda vez que o arco se propaga, também propaga um arco secundário para outro inimigo que o arco principal ainda não tiver atingido, sem gerar outras propagações.","Выпускает в указанного врага молнию, которая поражает по цепи других врагов, но не может сразу вернуться к противнику, получившему удар предыдущим. Каждый удар по цепи будет одновременно выпускать молнию во второго врага, которого главная цепь ещё не поразила, но второстепенные молнии не могут разветвляться дальше.","Un arco de rayo se extiende desde el personaje al enemigo objetivo y se encadena a otros enemigos, pero no vuelve inmediatamente. Cada vez que el arco se encadene, también se encadenará con un arco secundario a otro enemigo que el arco principal no haya impactado ya, pero este arco secundario ya no se puede encadenar más.","Arc\r\nส่งสายฟ้าฟาดจากผู้ร่ายไปยังศัตรูที่เป็นเป้าหมายและชิ่งไปยังศัตรูตัวอื่นๆ ที่อยู่ใกล้แต่จะไม่ชิ่งกลับมาโดยทันที ทุกครั้งที่สายฟ้าหลักชิ่ง มันจะส่งสายฟ้ารองชิ่งไปยังศัตรูตัวอื่นที่สายฟ้าหลักยังไม่ได้ปะทะ ซึ่งไม่สามารถชิ่งต่อไปได้อีก","一道閃電之弧從施放者射向目標敵人，再連鎖至其他敵人，但不會立即返回。每當電弧連鎖，也會使第二道電弧連鎖至主要電弧尚未擊中的另一個敵人，但第二道電弧不會進一步連鎖。",12,100,"",59005,""
8,1047,2,"[232,233,234,37,38,39,71,72,73,93,94,95,147,148,149,150,159,243]",1048,"Greater Shock Nova","Nova d'électricité majeure","Größere Schocknova","グレーターショックノヴァ","상위 충격 폭발","Nova Elétrica Maior","Большое кольцо молний","Nova de rayo","สายฟ้ากระจายชั้นสูง","高階閃電新星","Repeatedly casts rings of Lightning, followed by larger Lightning novas. Each effect deals lightning damage to enemies caught in the area. Damage from this skill is highly likely to shock.","Lance des anneaux de foudre à plusieurs reprises, suivis de novas de foudre plus grandes. Chaque effet inflige des dégâts de foudre aux ennemis situés dans sa zone d'effet. Les dégâts infligés par cette aptitude ont de fortes chances d'électrocuter.","Zaubert wiederholt schockende Ringe aus Blitzen, gefolgt von größeren Blitznovas. Jeder Effekt verursacht bei Gegnern, die sich im Bereich aufhalten, Blitzschaden. Schaden von dieser Fertigkeit hat eine hohe Chance auf Schocken.","稲妻のリングと、それに続くより大きな稲妻の新星を繰り返し放つ。それぞれの効果は範囲内の敵に雷ダメージを与える。このスキルによるダメージは高い確率で感電を付与する。","주위에 번개의 고리를 반복적으로 시전하고 잇따라 커다란 번개 폭발을 일으킵니다. 각각의 효과는 범위 내의 적들에게 번개 피해를 줍니다. 이 스킬로 주는 피해는 높은 확률로 감전을 유발합니다.","Conjura repetidamente círculos de eletricidade, seguidos por novas de eletricidade mais amplas. Cada efeito causa dano de raio em inimigos pegos na área. O dano desta habilidade tem grande probabilidade de causar choque.","Непрерывно создаёт кольца молний, за которыми следуют более крупные кольца. Каждый эффект наносит урон от молнии врагам в области. Урон от этого умения с высоким шансом накладывает шок.","Lanza círculos de rayo repetidamente, seguidos de una novas de rayo más grandes. Cada efecto inflige daño de rayo a los enemigos atrapados en el área. Es muy probable que el daño de esta habilidad electrocute.","Greater Shock Nova\r\nร่ายวงแหวนสายฟ้าซ้ำแล้วซ้ำเล่า ตามด้วยวงแหวน สายฟ้า วงใหญ่กว่า แต่ละผลจะสร้างความเสียหาย สายฟ้า ต่อศัตรูที่อยู่ในพื้นที่ ความเสียหายจากสกิลนี้มีโอกาสสร้างสถานะ ช็อค ที่สูงพอสมควร","重複施放閃電之環，接著產生更大的閃電新星。每一效果對其中的敵人造成閃電傷害。來自此技能的傷害有高機率感電。",28,100,1,50290,""
9,1249,0,"[232,233,234,37,38,39,52,53,54]","","Lightning Warp","Téléportation foudroyante","Blitzteleportation","ライトニングワープ","번개 차원 이동","Teletransporte Relampejante","Грозовой переход","Teletransporte de rayo","วาร์ปสายฟ้า","閃電傳送","Waits for a duration before teleporting to a targeted destination, with the duration based on distance and movement speed. When the teleport occurs, lightning damage is dealt both around the area of arrival and departure.","Une téléportation différée jusqu'à une destination ciblée. Lorsque la téléportation a lieu, des dégâts de foudre sont infligés autour du joueur au départ et à l'arrivée.","Nach einer Dauer wird zu einem Zielort teleportiert, wobei sich die Transportdauer nach der zurückgelegten Entfernung und der Bewegungsgeschwindigkeit richtet. Wenn die Teleportation stattfindet, wird im Bereich am Herkunfts- sowie Zielort Blitzschaden verursacht.","しばらく待機してから、対象地点までテレポートする。その待機時間は距離と移動スピードによって決まる。テレポートが起きる際、テレポートの到達点と出発点の両方のエリアの周囲に、雷ダメージを与える。","지속시간 동안 대기 후 대상 지점으로 순간이동합니다. 지속시간은 거리와 이동 속도에 비례합니다. 순간이동 시 출발 지점과 도착 지점 주변 적들에게 번개 피해를 줍니다.","Após um tempo, que depende da distância e da velocidade de movimento, teletransporta-se para a área selecionada. Quando isso acontece, causa dano de raio ao redor das áreas de partida e de chegada.","С небольшой задержкой, зависящей от расстояния до точки и скорости передвижения, переносит в указанное место. При переходе по области вокруг точек отправления и назначения бьёт молния.","Te teletransporta a una ubicación objetivo después de una duración, que se basa en la distancia y tu velocidad de movimiento. Cuando se produce el teletransporte, inflige daño de rayo alrededor de las áreas de inicio y de destino.","Lightning Warp\r\nรอเป็นระยะเวลาหนึ่ง ก่อนที่จะเทเลพอร์ตไปยังจุดหมายที่เลือก โดยระยะเวลานั้นขึ้นอยู่กับระยะทางและความเร็วในการเคลื่อนที่ เมื่อเกิดการเทเลพอร์ตจะสร้างความเสียหาย สายฟ้า ให้กับศัตรูในพื้นที่รอบๆ ตำแหน่งต้นทางและปลายทาง","等待一段時間，接著傳送至目標位置。等待時間長短取決於距離和移動速度。傳送發生時，會對傳送起點和終點的周圍造成閃電傷害。",10,100,0,28757,""
10,5351,0,"[11,232,233,234,52,53,54]","","Frost Bomb","Bombe de givre","Frostbombe","フロストボム","서리 폭탄","Bomba Congelante","Морозная бомба","Bomba de escarcha","ระเบิดน้ำแข็ง","寒霜爆","Creates a crystal that pulses with cold for a duration. Each pulse applies a debuff to nearby enemies for a secondary duration which reduces life regeneration rate, and also inflicts Cold Exposure. When the crystal's duration ends, it explodes, dealing heavy cold damage to enemies around it.","Crée un cristal qui inflige des dégâts de froid à chacune de ses pulsations pendant une certaine durée. Ces pulsations appliquent également un effet néfaste aux ennemis pendant une durée secondaire. Cet effet néfaste réduit leur régénération de vie et de bouclier d'énergie, en plus d'appliquer Exposition au froid. Une fois que la durée du cristal se termine, il explose et inflige de lourds dégâts de froid aux ennemis à proximité.","Erzeugt einen Kristall, der für eine Dauer mit Kälte pulsiert. Jeder Impuls wendet bei Gegnern im Umkreis für eine sekundäre Dauer eine Schwächung an, die die Lebensregenerations-Rate verringert und Kälte-Anfälligkeit verursacht. Nach Ablauf der Dauer explodiert der Kristall und fügt Gegnern im Umkreis schweren Kälteschaden zu.","持続時間中冷気のパルスを放つクリスタルを作成する。それぞれのパルスは近くの敵に副次的持続時間の間ライフ自動回復速度を減少させるデバフを付与し、さらに曝露(冷気)も付与する。クリスタルの持続時間が終わると、クリスタルは爆発し、周囲の敵に大きな冷気ダメージを与える。","일정 시간 동안 냉기로 파동치는 수정을 생성합니다. 파동이 칠 때마다 주변의 적들에게 2차 지속시간 동안 디버프를 줍니다. 디버프는 생명력 재생 속도를 낮추고 냉기 노출을 유발합니다. 수정의 지속시간이 종료되면, 폭발하여 주변의 적들에게 큰 냉기 피해를 줍니다.","Cria um cristal que pulsa de frio por um período. Cada pulso aplica uma penalidade aos inimigos próximos por um período secundário, reduzindo sua taxa de regeneração de vida e aplicando exposição ao frio. Quando a duração do cristal termina, ele explode, causando dano considerável de frio aos inimigos ao redor.","На некоторое время создаёт пульсирующий холодом кристалл. Каждый импульс на вторичный промежуток времени накладывает отрицательный эффект на ближайших врагов, который снижает их скорость регенерации здоровья, а также накладывает восприимчивость к холоду. По окончании действия кристалл взрывается, нанося мощный урон от холода всем врагам вокруг.","Crea un cristal que emite pulsos de hielo durante un tiempo. Cada pulso aplica un efecto nocivo a los enemigos cercanos durante un período de tiempo secundario que reduce su velocidad de regeneración de vida y también aplica exposición al hielo. Cuando finaliza la duración del cristal, este explota e inflige un gran daño de hielo a los enemigos que están a su alrededor.","Frost Bomb\r\nสร้างผลึกน้ำแข็งที่จะกระจายคลื่นออกมาเป็นระยะเวลาหนึ่ง แต่ละคลื่นจะสร้างดีบัฟต่อศัตรูที่อยู่ใกล้เป็นระยะเวลารองที่จะลดความเร็วในการ ฟื้นฟูพลังชีวิต ทั้งยังสร้างสถานะ พ่ายแก่น้ำแข็ง อีกด้วย ผลึกน้ำแข็งจะระเบิดเมื่อหมดเวลา สร้างความเสียหาย น้ำแข็ง อย่างรุนแรงต่อศัตรูรอบผลึกน้ำแข็ง","產生一塊在持續時間內發出冰冷脈衝的水晶。每道脈衝會對附近敵人施加具有第二段持續時間、減少其生命回復率，並造成冰冷曝曬的減益效果。水晶會在持續時間結束時爆炸，對其周圍的敵人造成高額冰冷傷害。",4,100,"",10557,""
11,5787,2,"[0,1,37,38,39,68,69,70,99,100,101,142,154,155,156]",5788,"Frostbolt","Globe de givre","Frostkugel","フロストボルト","서리 구체","Seta Gélida","Морозный шар","Descarga de escarcha","บอลเยือกแข็ง","寒冰彈","Fires a slow-moving projectile that pierces through enemies, dealing cold damage.","Un projectile sphérique infligeant des dégâts de froid qui se déplace lentement tout en transperçant les ennemis.","Feuert ein langsames Projektil ab, das Gegner durchbohrt und Kälteschaden verursacht.","敵を貫通するゆっくりと動く投射物を放ち、冷気ダメージを与える。","천천히 움직이는 투사체를 시전하여 적들을 관통하고 냉기 피해를 줍니다.","Dispara um projétil lento que atravessa inimigos, causando dano de frio.","Выпускает медленно движущийся снаряд, проходящий сквозь врагов и наносящий урон от холода.","Dispara un proyectil de movimiento lento que perfora a los enemigos e inflige daño de hielo.","Frostbolt\r\nยิงโพรเจกไทล์ที่เคลื่อนที่อย่างเชื่องช้าซึ่งเจาะทะลุศัตรู สร้างความเสียหาย น้ำแข็ง","發射移動緩慢、穿透敵人的投射物，造成冰冷傷害。",1,100,"",33663,""
12,5816,2,"[37,38,39,232,233,234,49,50,51,80,81,82,55,56,57,59,60,61]",5817,"Vortex","Vortex","Vortex","ヴォーテックス","소용돌이","Vórtice","Пурга","Vórtice","น้ำวน","漩渦","An icy blast explodes around the caster, dealing cold damage to enemies, and leaving behind a whirling vortex which deals cold damage over time and chills enemies caught in it.","Une explosion de glace autour de vous qui inflige des dégâts de froid aux ennemis et laisse un vortex tourbillonnant derrière elle. Le vortex inflige des dégâts de froid sur la durée et frigorifie les ennemis qui s'y trouvent.","Um den Wirkenden wird eine eisige Explosion gezündet, die bei Gegnern Kälteschaden verursacht und einen wirbelnden Vortex hinterlässt, der Kälteschaden über Zeit verursacht und Gegner unterkühlt, die sich darin aufhalten.","使用者の周りに氷の爆発が起こり、敵に冷気ダメージを与え、渦を残す。その渦は敵に冷気の継続ダメージを与え、敵を冷却状態にする。","시전자 주위에 얼음 폭발을 일으켜 냉기 피해를 줍니다. 또한 소용돌이를 남겨 지속 냉기 피해를 주고 적들을 냉각시킵니다.","Uma explosão gelada acontece ao redor do conjurador, causando dano de frio aos inimigos e criando um vórtice que causa dano de frio degenerativo e esfria os alvos atingidos por ele.","Создаёт вокруг сотворившего умение ледяной взрыв, наносящий урон от холода врагам. В области действия порывы ледяного ветра наносят врагам постепенный урон от холода и охлаждают их.","Una explosión de hielo estalla alrededor del personaje e inflige daño de hielo a los enemigos. También deja un vórtice giratorio detrás de sí que inflige daño de hielo degenerativo y escarcha a los enemigos a los que atrapa.","Vortex\r\nระเบิดน้ำแข็งรอบผู้ร่าย สร้างความเสียหาย น้ำแข็ง ให้กับศัตรู และทิ้งวงน้ำวนไว้เพื่อสร้างความเสียหาย น้ำแข็ง ต่อเนื่อง และสร้างสถานะ หนาวเย็น ต่อศัตรูที่อยู่ในพื้นที่","施放者周圍發生寒冰爆破，對敵人造成冰冷傷害，並留下一道漩渦，對其中的敵人造成冰冷持續傷害和冰緩。",28,100,1,31928,""
13,64,2,"[37,38,39,99,100,101,80,81,82,68,69,70,102,148,149,150,168,169,170,83,84,85,244]",65,"Ice Nova","Nova de glace","Eisnova","アイスノヴァ","얼음 폭발","Nova Glacial","Кольцо льда","Nova de hielo","น้ำแข็งกระจาย","冰霜新星","A circle of ice expands from the caster.","Un cercle frigorifiant de glace s'étend autour du lanceur.","Ein unterkühlender Kreis aus Eis breitet sich vom Wirkenden aus.","凍える氷の輪が使用者の周囲に放たれる。","시전자를 중심으로 얼음이 원형으로 퍼져나갑니다.","Um círculo de gelo se expande ao redor do conjurador.","Создаёт расходящееся от того, кто сотворил умение, кольцо льда.","Un círculo de hielo se expande desde el personaje.","Ice Nova\r\nวงน้ำแข็งแผ่ขยายออกมาจากผู้ร่าย","從施放者擴散出一道冰冷之環。",12,100,"",61497,""
14,66,2,"[37,38,39,99,100,101,80,81,82,68,69,70,102,148,149,150,168,169,170]",67,"Ice Nova of Projection","Nova de glace de la Projection","Eisnova der Projektion","投影のアイスノヴァ","투영의 얼음 폭발","Nova Glacial de Projeção","Кольцо льда проекции","Nova de hielo de proyección","น้ำแข็งกระจายแห่งการถ่ายทอด","投射之冰霜新星","A circle of ice expands from the target.","Un cercle frigorifiant de glace s'étend autour de la cible.","Ein unterkühlender Kreis aus Eis breitet sich vom Ziel aus.","凍える氷の輪が対象の周囲に放たれる。","대상을 중심으로 얼음이 원형으로 퍼져나갑니다.","Um círculo de gelo se expande do alvo.","Создаёт расходящееся от цели кольцо льда.","Un círculo de hielo se expande desde el objetivo.","Ice Nova of Projection\r\nวงน้ำแข็งแผ่ขยายออกมาจากเป้าหมาย","從目標擴散出一道冰冷之環。",12,100,"",61471,""
