"rownum","GrantedEffect","SupportCount","PossibleSupports","EncounterGrantedEffect","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","RequiredLevel","i32_84","SkillFamily","HASH16","HouseIcon"
135,8910,1,"[77,78,79,232,233,234,96,97,98]","","Triggerslam","Impact ardent","Auslöserhieb","トリガースラム","발동강타","Impacto Acionador","Взрывное приземление","Embate de activación","ทุบทริกเกอร์","觸發重擊","On landing from Leap Slam, cause a fiery eruption which deals attack damage, partially converting physical to fire.","En atterissant après un Bond percutant, provoque une éruption ardente qui inflige des dégâts d'attaque, convertissant une partie des dégâts physiques en dégâts de feu.","Verursacht bei der Landung mit Sprunghieb eine feurige Explosion, die Angriffsschaden verursacht und physischen Schaden teilweise in Feuerschaden umwandelt.","リープ スラムから着地すると、火の噴火を引き起こし、物理ダメージの一部が火ダメージに変換されたアタックダメージを与える。","도약 강타 후 착지하면서 불타는 분출을 일으켜 공격 피해를 주고, 물리 피해를 부분적으로 화염으로 전환합니다.","Ao tocar o chão após um Salto Impactante, provoca uma erupção ardente que causa dano de ataque e converte parte do dano físico em fogo.","В момент приземления от Наскока вызывает огненное извержение, которое наносит урон от атак, частично преобразуя физический урон в урон от огня.","Al aterrizar con Salto con impacto, se produce una erupción ardiente que inflige daño de ataques y que convierte parcialmente el daño físico en fuego.","Triggerslam\r\nเมื่อลงพื้นจากกระโจนทุบ (Leap Slam) จะก่อให้เกิดไฟปะทุที่สร้างความเสียหาย โจมตี และแปลงความเสียหาย กายภาพ บางส่วนเป็น ไฟ","躍擊落地時造成猛烈爆發，造成攻擊傷害，部分物理傷害轉換為火焰傷害。",10,100,"",18149,"Art/2DArt/SkillIcons/HouseKeitaSkill.dds"
136,8976,2,"[232,233,234,77,78,79,120,121,122,225,46,229,230,231,40,191,192,193,194,195,199]","","Tectonic Slam","Fracas tectonique","Tektonischer Hieb","テクトニックスラム","지층 강타","Impacto Tectônico","Тектонический удар","Embate tectónico","ทุบเปลือกโลกแยก","破體之擊","Slams the ground, unleashing a fiery fissure forward, dealing area damage and randomly releasing a number of smaller fissures branching off from it. Consumes an Endurance Charge every third time the ground is slammed with this skill. ","Fracasse le sol, libérant ainsi une fissure ardente vers l'avant, qui inflige des dégâts de zone et libère un nombre aléatoire de fissures plus petites qui se ramifient à partir de la première. Consomme une Charge d'endurance toutes les trois attaques portées avec cette aptitude.","Schlägt auf den Boden und entfesselt einen feurigen Riss nach vorne, der Flächenschaden verursacht und vom Hauptriss ausgehend eine zufällige Anzahl kleinerer Risse erzeugt. Verbraucht jeden dritten Schlag auf den Boden mit dieser Fertigkeit eine Widerstands-Ladung. ","地面を叩きつけ、燃え盛る亀裂を前方に作り、範囲ダメージを与える。さらにその亀裂から多数の小さな亀裂のランダムな枝分かれが生じる。このスキルで地面を三回叩きつけるごとにエンデュランスチャージを消費する。","지면을 강타하면 전방에 불타는 균열을 만들어 범위 피해를 주고, 그 균열에서 여러 개의 작은 균열을 무작위로 만들어 냅니다. 이 스킬로 지면을 3번 강타할 때마다 인내 충전을 1 소모합니다.","Golpeia o chão e abre uma rachadura ardente à sua frente, que causa dano em área e gera pequenas fissuras aleatórias. A cada três golpes com esta habilidade, consome uma carga de tolerância.","Наносит удар по земле, посылая вперёд огненную трещину, которая наносит урон по области и разветвляется на случайное количество маленьких трещин. Поглощает заряд выносливости при каждом третьем ударе по земле этим умением.","Golpea el suelo para desatar una fisura ardiente hacia delante que inflige daño en área y libera aleatoriamente varias fisuras más pequeñas que se ramifican a partir de ella. Consume una carga de aguante cada tercera vez que se golpea el suelo con esta habilidad.","Tectonic Slam\r\nทุบพื้นเพื่อปลดปล่อยรอยแยกไฟตรงหน้า สร้างความเสียหาย พื้นที่ และทำให้เกิดรอยแยกขนาดเล็กพื้นเติมแบบสุ่ม สกิลนี้จะใช้ Endurance Charge 1 ลูกเมื่อทุบพื้นด้วยสกิลนี้เป็นครั้งที่สาม","猛擊地面並朝你前方釋放熾熱的裂縫，造成範圍傷害並從中產生數個更小的裂縫。每 3 次你使用此技能重擊地面會消耗 1 顆耐力球。",28,100,"",6228,""
137,4807,2,"[68,69,70,120,121,122,225,229,230,231,232,233,234,48]","","Ice Crash","Fracas de glace","Eishieb","アイスクラッシュ","얼음 충격","Pancada Glacial","Ледяное сокрушение","Choque de hielo","ทุบคลื่นน้ำแข็ง","寒冰衝擊","Slams the ground, damaging enemies in an area around the impact in three stages of increasing size. Enemies take slightly less damage on the second and third stage, and can only be hit by one stage.","Une frappe au sol qui endommage les ennemis dans une zone autour de l'impact en trois étapes de taille grandissante. Les ennemis subissent légèrement moins de dégâts lors de la deuxième et troisième étape et ne peuvent être frappés que par une seule étape.","Schlägt auf den Boden, wodurch er Gegnern im Wirkungsbereich in drei größer werdenden Phasen Schaden zufügt. In der zweiten und dritten Phase erleiden Gegner etwas weniger Schaden und sie können nur von einer Phase getroffen werden.","地面を叩きつけ、その範囲内の敵に範囲の大きくなる3ステージにわたる衝撃でダメージを与える。2ステージ目と3ステージ目のダメージはダメージ量が少し低下し、1ステージのみヒットする。","지면을 강타해 점점 커지는 3단계에 걸쳐 충격 지점 주위의 적들에게 피해를 줍니다. 단계가 거듭될수록 적이 받는 피해는 줄어들며, 적은 한 단계에만 피격됩니다.","Golpeia o chão e causa dano aos inimigos ao redor do impacto em três estágios que aumentam de tamanho. No segundo e no terceiro estágio, os inimigos recebem um pouco menos de dano e só podem ser atingidos por um deles.","Совершает удар по земле, нанося урон врагам в области тремя сокрушительными волнами увеличивающихся размеров. Враги получают немного меньше урона от второй и третьей стадии умения, и могут быть поражены только одной из стадий.","Golpea el suelo y daña a los enemigos en un área alrededor del impacto en tres fases de tamaño creciente. Los enemigos reciben ligeramente menos daño en la segunda y tercera fase y solo pueden ser impactados por una de las fases.","Ice Crash\r\nทำการทุบพื้น สร้างความเสียหายต่อศัตรูในพื้นที่รอบจุดกระทบเป็น 3 สเตจที่มีขนาดใหญ่ขึ้นไปเรื่อยๆ โดยศัตรูจะได้รับความเสียหาย ลดลง อีก เล็กน้อยในสเตจที่ 2 กับ 3 และจะถูกปะทะได้เพียงระลอกเดียวเท่านั้น","猛擊地面，對衝擊範圍內的敵人造成三個階段的傷害、範圍隨階段增加，第二和第三階段的敵人受到的傷害略微減少，且只會受到一個階段擊中。",28,100,"",11018,""
138,995,2,"[68,69,70,120,121,122,62,63,64,59,60,61,80,81,82,99,100,101]","","Glacial Hammer","Marteau de glace","Frosthammer","グレイシャルハンマー","빙하 망치","Martelo Glacial","Леденящий молот","Martillo glacial","ค้อนเยือกแข็ง","冰霜之錘","Hits enemies, converting some of your physical damage to cold damage. If a non-unique enemy is frozen and is on less than one third life, they will shatter when hit by Glacial Hammer. If striking three times in a row, the third strike will freeze enemies more easily. Requires a Mace, Sceptre or Staff.","Une attaque de mêlée pouvant toucher plusieurs ennemis, qui convertit une partie de vos dégâts physiques en dégâts de froid. Si l'ennemi (hors unique) est gelé et a moins d'un tiers de sa vie, le Marteau de glace le fracasse au toucher. Tous les trois coups, cette aptitude gèle la cible touchée beaucoup plus efficacement.","Trifft Gegner und wandelt einen Teil Eures physischen Schadens in Kälteschaden um. Falls ein Gegner (einzigartige ausgenommen) eingefroren ist und über weniger als ein Drittel seines Lebens verfügt, wird er bei einem Treffer durch die Fertigkeit zerschmettert. Bei drei aufeinanderfolgenden Schlägen friert der dritte Schlag Gegner leichter ein.","敵をヒットし、物理ダメージの一部を冷気ダメージに変換したダメージを与える。ユニークでない敵が凍結状態で、残っているライフが3分の1未満場合、このスキルに当てられた時、粉砕する。三回連続で攻撃する場合、三回目の攻撃はより簡単に敵を凍結状態にさせる。使用するにはメイス、セプターまたはスタッフを装備する必要がある。","물리 피해 일부를 냉기 피해로 전환하여 공격합니다. 비-고유 적이 동결 상태이고 생명력이 1/3 미만일 경우, 빙하 망치로 공격하면 산산이 조각납니다. 연속으로 3회 공격 시 3번째 공격은 적을 더 쉽게 동결시킵니다. 철퇴나 셉터, 지팡이가 필요합니다.","Ao golpear inimigos, parte do dano físico causado é convertido em dano de frio. Se um inimigo não único estiver congelado e com menos de um terço de vida, ele se estilhaça ao ser atingido por Martelo Glacial. Ao golpear três vezes seguidas, o terceiro golpe congela os alvos mais facilmente. Requer uma maça, um cetro ou um cajado.","Бьёт врага, при этом часть физического урона становится уроном от холода. Если неуникальный враг замерзает и имеет меньше трети здоровья, то при ударе Леденящим молотом он разлетается на куски. При последовательных ударах, третий удар замораживает врагов эффективнее. Умение требует булаву, скипетр или посох.","Impacta a los enemigos con parte de tu daño físico convertido a daño de hielo. Si un enemigo que no es único está congelado y tiene menos de un tercio de vida, se hará añicos al recibir el golpe del Martillo glacial. Si lo golpea tres veces seguidas, el tercer golpe congelará a los enemigos más fácilmente. Requiere una maza, un cetro o un báculo.","Glacial Hammer\r\nปะทะศัตรูโดยแปลงความเสียหาย กายภาพ ส่วนหนึ่งของคุณเป็น น้ำแข็ง ศัตรูที่ไม่ใช่ยูนิคที่มีพลังชีวิตน้อยกว่า 1/3 ที่ติดสถานะ แช่แข็ง จะแตกสลายเมื่อถูกปะทะจาก ค้อนเยือกแข็ง หากฟาดสามครั้งติดกัน การฟาดครั้งที่สามจะสร้างสถานะ แช่แข็ง ได้ง่ายกว่าเดิม ต้องใช้กับ กระบอง, คทา หรือ ไม้พลอง เท่านั้น","擊中敵人，轉換一部分的物理傷害為冰冷傷害。若受到攻擊的非傳奇敵人被冰凍且生命少於三分之一，則被冰霜之錘命中時會粉碎。若連續打擊 3 次，第 3 下則更容易冰凍敵人。需要裝備錘、權杖或長杖。",1,100,"",53217,""
139,1005,2,"[68,69,70,83,84,85,49,50,51,65,66,67,232,233,234,90,91,92,59,60,61,99,100,101]","","Vaal Glacial Hammer","Marteau de glace vaal","Vaal-Frosthammer","ヴァールグレイシャルハンマー","바알 빙하 망치","Martelo Glacial Vaal","Леденящий молот ваал","Martillo glacial vaal","วาล์ ค้อนเยือกแข็ง","瓦爾．冰霜之錘","Hits enemies, converting physical damage to cold damage. Traps enemies in a circle of ice so that they can't escape. ","Une attaque de mêlée qui convertit une partie des dégâts physiques en dégâts de froid. Piège les ennemis dans un cercle de glace pour les empêcher de fuir.","Trifft den Gegner und wandelt einen Teil des physischen Schadens in Kälteschaden um. Sperrt den Gegner in einen Eis-Kreis, sodass er nicht entkommen kann. ","敵にヒットし、物理ダメージが冷気ダメージに変化する。敵を、氷の円の中に閉じ込め、逃げられないようにする。","적들을 명중시키면 물리 피해가 냉기 피해로 전환됩니다. 적들을 얼음의 원으로 가두어 달아날 수 없게 만듭니다.","Ao golpear inimigos, converte dano físico em dano de gelo e os prende em um círculo de gelo, impedindo que escapem.","Бьёт врага, при этом физический урон становится уроном от холода. Окружает врагов мешающей побегу стеной льда.","Impacta a los enemigos con parte del daño físico convertido a daño de hielo. Atrapa a los enemigos en un círculo de hielo para que no puedan escapar.","Vaal Glacial Hammer\r\nปะทะศัตรูโดยแปลงความเสียหาย กายภาพ ส่วนหนึ่งเป็น น้ำแข็ง ขังศัตรูไว้ในวงน้ำแข็งเพื่อไม่ให้มันหลบหนี","擊中敵人，轉換物理傷害為冰冷傷害。將敵人困在寒冰之環中，使其無法逃脫。",24,100,1,47031,""
140,5464,2,"[68,69,70,120,121,122,225,229,230,231,232,233,234,52,53,54,99,100,101,59,60,61,123,124,125]","","Earthquake of Winter","Séisme de l'Hiver","Erdbeben des Winters","冬のアースクエイク","겨울의 지진","Terremoto Invernal","Землетрясение зимы","Terremoto invernal","แผ่นดินไหวแห่งเหมันต์","震地．寒冬","Smashes the ground, dealing damage in an area and cracking the earth. The crack will erupt in a powerful aftershock after a duration. Physical damage dealt is partially converted to cold.","Fracasse le sol, infligeant ainsi des dégâts de zone tout en fissurant le sol. Après une certaine durée, cette fissure éclate en une puissante réplique sismique. Une partie des dégâts physiques infligés est convertie en dégâts de froid.","Zertrümmert den Erdboden und verursacht Schaden in einem Bereich, der die Erde aufreißt. Dieser Riss zieht nach langer Dauer ein starkes Nachbeben nach sich. Verursachter physischer Schaden wird teilweise in Kälteschaden umgewandelt.","地面を叩きつけ、範囲ダメージを与えるとともに地面に亀裂を入れる。この亀裂は持続時間の後に強力な余震を起こして爆発する。与える物理ダメージの一部は冷気ダメージに変換される。","지면을 강타해 범위 내에 피해를 주고 대지에 균열을 생성합니다. 얼마 후 균열은 여진을 일으킵니다. 주는 물리 피해가 부분적으로 냉기로 전환됩니다.","Ao golpear o chão, causa dano em uma área e abre uma rachadura. Após um período, a rachadura irrompe em um poderoso tremor secundário. Parte do dano físico é convertido em dano de gelo.","Сотрясает землю, нанося урон в области и оставляя разлом в земле. После короткого промежутка времени разлом взрывается, выпуская мощную остаточную волну. Нанесённый физический урон частично становится уроном от холода.","Golpea el suelo para infligir daño en un área y agrietar la tierra. Esta grieta estallará en forma de una poderosa réplica después de un tiempo. El daño físico infligido se convierte parcialmente a hielo.","Earthquake of Winter\r\nทุบพื้น สร้างความเสียหายในพื้นที่และทำให้แผ่นดินเกิดรอยร้าวที่ระเบิดคลื่นสะท้อนรุนแรงออกมาหลังจากระยะเวลาหนึ่ง แปลงความเสียหาย กายภาพ บางส่วนที่สร้างเป็น น้ำแข็ง","敲擊地面，對一片區域造成傷害，使地面裂開。裂痕會持續一段時間，之後爆發出強力的餘震。造成的部分物理傷害會轉換為冰冷傷害。",28,100,1,14816,""
141,1323,2,"[120,121,122,164,165,166,62,63,64,191,192,46,21,4,83,84,85]","","Heavy Strike of Trarthus","Frappe massive de Trarthus","Heftiger Schlag von Trarthus","トラーサスのヘビーストライク","트라투스의 묵직한 타격","Golpe Pesado de Trarthus","Тяжёлый удар Тератны","Golpe pesado de Trarthus ","ฟาดหนักหน่วงแห่งทาร์ทัส","特拉特斯沉重之擊","Attacks enemies with a forceful blow which has a higher chance to deal double damage the higher your intelligence. Increases and reductions to spell damage apply to attack damage with this skill.","Assène les ennemis d'un coup puissant qui a une chance plus élevée d'infliger des dégâts doublés en fonction de votre intelligence. Les augmentations et réductions de dégâts des sorts s'appliquent aux dégâts d'attaque avec cette aptitude.","Greift Gegner mit einem heftigen Schlag an, der, basierend auf der Intelligenz, eine höhere Chance hat, doppelten Schaden zu verursachen. Erhöhungen und Verringerungen des Zauberschadens gelten auch für den Angriffsschaden mit dieser Fertigkeit.","知性が高いほど、与えるダメージが2倍になる確率が高くなる力強い強打で敵を攻撃する。スペルダメージの増減は、このスキルによるアタックダメージにも適用される。","강력한 일격으로 적을 공격합니다. 지능이 높을수록 2배의 피해를 줄 확률이 높습니다. 주문 피해에 적용되는 증가 및 감소 수치가 이 스킬의 공격 피해에 적용됩니다.","Ataca os inimigos com um golpe poderoso, com mais chance de causar dano dobrado quanto maior for sua inteligência. Modificadores de dano de magia se aplicam ao dano de ataque desta habilidade.","Бьёт врагов сильным ударом, имеющим тем более высокий шанс нанести двойной урон, чем выше интеллект атакующего. Увеличения и уменьшения урона от чар применяются к урону от атак этим умением.","Ataca a los enemigos con un contundente embate que tiene una mayor probabilidad de infligir daño doble cuanto más alta sea tu inteligencia. Los aumentos y las reducciones al daño de hechizos se aplican al daño de ataques de esta habilidad.","Heavy Strike of Trarthus\r\nโจมตีศัตรูด้วยการโจมตีเต็มแรง มีโอกาสสร้างความเสียหายสองเท่าสูงขึ้นตาม Intelligence ของคุณ การเพิ่มและลดความเสียหาย เวท ส่งผลต่อความเสียหาย โจมตี ของสกิลนี้เช่นกัน","以猛烈的一擊攻擊敵人，你的智慧越高，造成雙倍傷害的機率越高。對法術傷害的增減會套用在此技能的攻擊傷害。",1,100,"",38103,""
142,314,2,"[120,121,122,164,165,166,110,111,112,191,192,196,197,198,62,63,64,4,46]","","Dual Strike","Frappes simultanées","Zweifachschlag","デュアルストライク","쌍수 타격","Ataque Combinado","Парный удар","Golpe dual","ฟาดคู่","雙持打擊","Attacks with both weapons, dealing the damage of both in one strike. ","Une attaque simultanée avec l'arme principale et secondaire, qui inflige les dégâts des deux armes en un seul coup.","Greift mit beiden Waffen an, um mit einem Schlag den Schaden beider Waffen zuzufügen. ","両方の武器で攻撃し、両武器のダメージを一つの強打で与える。","양손의 무기로 한번에 공격하여 피해를 줍니다.","Desfere um golpe com ambas as armas, causando o dano combinado delas. ","Атакует двумя оружиями сразу, нанося парный удар.","Ataca con las dos armas e inflige el daño de ambas en un solo golpe.","Dual Strike\r\nโจมตีด้วยอาวุธทั้งสอง สร้างความเสียหายจากอาวุธทั้งสองพร้อมกันในการฟาดครั้งเดียว","使用兩把武器對目標同時進行攻擊並造成傷害。",1,100,"",10235,""
143,2013,3,[],"","Hatred","Haine","Hass","ヘイトレッド","증오","Ódio","Холодная ненависть","Odio","เกลียดชัง","憎恨","Casts an aura that grants extra cold damage based on physical damage.","Une aura qui rajoute une partie des dégâts physiques sous forme de dégâts de froid.","Zaubert eine Aura, die zusätzlichen Kälteschaden gewährt, der auf dem physischen Schaden basiert.","物理ダメージに基づく追加の冷気ダメージを付与するオーラを纏う。","물리 피해에 따른 냉기 피해를 부여하는 오라를 시전합니다.","Ativa uma aura que concede dano de gelo adicional com base no dano físico.","Окружает аурой, которая дарует дополнительный урон от холода, основанный на физическом уроне.","Proyecta un aura que otorga daño de hielo adicional basado en el daño físico.","Hatred\r\nร่ายออร่าที่มอบการเสริมความเสียหาย น้ำแข็ง ตามความเสียหาย กายภาพ","施放一個光環，賦予根據物理傷害的額外冰冷傷害。",24,100,"",24482,""
144,3376,2,"[77,78,79,171,172,173,65,66,67,159,126,127,128,232,233,234,123,124,125,199]",3377,"Vaal Burning Arrow","Flèche incendiaire vaal","Vaal-Brennender Pfeil","ヴァールバーニングアロー","바알 불타는 화살","Flecha Ardente Vaal","Горящая стрела ваал","Flecha ardiente vaal","วาล์ ศรไฟ","瓦爾．燃燒箭矢","Fires an arrow that explodes, dealing fire damage to its target and other nearby enemies, with an increased chance of igniting them.","Une flèche qui explose à l'impact, infligeant des dégâts de feu à sa cible et aux autres ennemis à proximité, avec des chances accrues de les embraser.","Schießt einen Pfeil ab, der explodiert, Feuerschaden bei seinem Ziel und in der Nähe befindlichen Gegnern verursacht und eine erhöhte Chance hat, seine Ziele zu entzünden.","対象と周囲の敵に火ダメージを与え、高い発火確率を有する爆発する矢を放つ。","폭발하여 대상과 주변의 다른 적들에게 화염 피해를 주고, 높은 확률로 불을 붙이는 화살을 발사합니다.","Dispara uma flecha que explode, causando dano de fogo ao alvo e aos inimigos próximos, com maior chance de incendiá-los.","Выпускает стрелу, которая взрывается, нанося урон цели и врагам вокруг неё. Имеет высокий шанс поджечь поражённые цели.","Dispara una flecha que explota e inflige daño de fuego a su objetivo y a otros enemigos cercanos, con una probabilidad aumentada de quemarlos.","Vaal Burning Arrow\r\nยิงศรที่ระเบิด สร้างความเสียหาย ไฟ ต่อเป้าหมายกับศัตรูตัวอื่นๆ ที่อยู่ใกล้ โดยมีโอกาสสร้างสถานะ ลุกไหม้ ต่อมันเพิ่มขึ้น","射出一發帶有火焰能量的箭矢，接觸到敵人時會爆炸，並對其與周圍的敵人造成火焰傷害，同時有較高的機率造成點燃。",28,100,1,23512,""
145,5269,2,"[232,233,234,120,121,122,90,91,92,126,127,128,49,50,51,55,56,57,199,255]",5270,"Blast Rain of Trarthus","Pluie explosive de Trarthus","Explosionsregen von Trathus","トラーサスのブラストレイン","트라투스의 폭발 화살비","Chuva Explosiva de Trarthus","Дождь взрывов Тератны","Lluvia de estallidos de Trarthus","ฝนระเบิดแห่งทาร์ทัส","特拉特斯爆裂箭雨","Fires a single arrow up in the air, to rain down at a targeted location. The arrow deals area damage around where it lands, as well as releasing a wave of fire which will apply a burning debuff to enemies.","Un tir d'une unique flèche dans les airs qui retombe à l'emplacement ciblé. La flèche inflige des dégâts de zone autour de son point d'impact, tout en libérant également une vague de feu qui applique un effet néfaste de brûlure aux ennemis.","Feuert einen einzelnen Pfeil in die Luft, der am Zielort herabregnet. Der Pfeil verursacht bei seiner Landung Flächenschaden und entfesselt eine Welle aus Feuer, die bei Gegnern eine Brandschwächung anwendet.","空中に1本の矢を放ち、指定範囲に雨のように降らせる。この矢は着弾地点の周囲に範囲ダメージを与え、敵に燃焼のデバフを与える、火の波動を放つ。","화살 한 발을 허공으로 발사하여 대상 지점에 떨어뜨립니다. 화살은 떨어지는 곳 주변에 범위 피해를 주고, 불길의 파동을 방출하여 적들에게 화상 디버프를 적용합니다.","Dispara uma flecha para o alto, que cai no local escolhido, causando dano em área e liberando uma onda de fogo que aplica uma penalidade de queimadura aos inimigos.","Выпускает в воздух стрелу, которая приземляется в указанное место. Стрела наносит урон по области вокруг точки приземления, а также испускает волну огня, которая накладывает отрицательный эффект горения на врагов.","Dispara una sola flecha al aire para que caiga en una ubicación objetivo. La flecha inflige daño en área alrededor de donde cae y libera una ola de fuego que aplica un efecto nocivo de incendio a los enemigos.","Blast Rain of Trarthus\r\nยิงศรขึ้นฟ้าดอกหนึ่งให้ตกลงมายังตำแหน่งเป้าหมาย ศรดอกนั้นจะสร้างความเสียหาย พื้นที่ รอบจุดที่มันตก พร้อมปล่อยคลื่นไฟที่สร้างดีบัฟ ติดไฟ ต่อศัตรู","對天空射出一支箭矢，降落於目標位置。箭矢對落地區域附近造成範圍傷害，並釋放出一道炎浪，對敵人造成燃燒減益效果。",28,100,"",18004,""
146,2406,3,[],"","Blasphemy Flammability","Inflammabilité Blasphème","Blasphemie der Entflammbarkeit","冒涜のフラマビリティ","신성 모독 인화성","Inflamabilidade com Blasfêmia","Богохульство Горючести","Inflamabilidad de blasfemia","สาปส่งไวไฟ","易燃．瀆神","Casts an aura that curses all enemies in an area, lowering their fire resistance and giving them a chance to be ignited when hit.","Lance une aura qui maudit tous les ennemis dans une zone, réduisant leur résistance au feu et leur donnant des chances d'être embrasés lorsqu'ils sont touchés.","Zaubert eine Aura, die alle Ziele in einem Bereich verflucht, was ihren Feuerwiderstand verringert und ihnen eine Chance gewährt, bei Treffer entzündet zu werden.","エリア内のすべての敵に呪いをかけるオーラを纏い、敵の火耐性を下げ、ヒット時に発火する確率を上げる。","범위 내 모든 적에게 저주를 걸어 화염 저항을 낮추는 오라를 시전합니다. 저주 상태에서 피격되는 적은 일정 확률로 점화됩니다.","Ativa uma aura que amaldiçoa os inimigos em uma área, reduzindo sua resistência a dano de fogo e possibilitando que sejam incendiados ao serem atingidos.","Окружает аурой, которая проклинает всех врагов в области, cнижая их сопротивление огню и повышая шанс поджечь их при ударе.","Proyecta un aura que maldice a todos los enemigos en un área para disminuir su resistencia al fuego y otorgarles una probabilidad de quemarse cuando reciben un impacto.","Blasphemy Flammability\r\nร่ายออร่าที่สาปทุกเป้าหมายในพื้นที่ ทำให้พวกมันมีค่าต้านทาน ไฟ น้อยลง และทำให้พวกมันมีโอกาสติดสถานะ ลุกไหม้ เมื่อถูกปะทะ","施放一個光環，詛咒區域內所有敵人，降低他們的火焰抗性，並使他們在遭擊中時有一定機率受到點燃。",24,100,"",39298,""
147,12211,3,[],"","Alchemist's Mark","Marque de l'Alchimiste","Mal des Alchemisten","アルケミストの呪印","연금술사의 징표","Marca do Alquimista","Метка алхимика","Señal del alquimista","คำแช่งนักแปรธาตุ","煉金術士印記","Curses an enemy, granting flask charges on hit and creating Burning Ground under the target if a hit Ignites them, and Caustic Ground if it Poisons them.","Maudit un ennemi, octroyant des charges de Flacon au toucher et créant du Sol brûlant sous lui si une touche l'Embrase, et du Sol caustique si elle l'Empoisonne.","Verflucht einen Gegner, gewährt bei Treffer Fläschchenfüllungen und erzeugt unter ihm Brennenden Boden, wenn der Treffer den Gegner entzündet und Ätzenden Boden, wenn der Treffer den Gegner vergiftet.","敵一体に呪いをかけ、ヒット時にフラスコチャージを得られるようにする。またヒット時に発火を付与した場合、その敵の下に燃焼領域を、毒を付与した場合は腐食領域を生成する。","적에게 저주를 걸어, 명중 시 플라스크 충전을 얻습니다. 또한 명중으로 적이 점화되면 적 아래에 용암 지대를, 적이 중독되면 부식성 지대를 만듭니다.","Amaldiçoa um inimigo, gerando cargas de frasco ao atingi-lo e criando um chão incendiado se ele for incendiado, ou um chão cáustico se for envenenado.","Проклинает врага проклятием, дарующим заряды флакона при нанесении ударов и создающим под врагом горящую землю, если удар наложил поджог, и едкую землю, если удар отравил врага.","Maldice a un enemigo para que otorgue cargas de frasco al impactarlo y crear suelo incendiado a sus pies si un impacto lo quema, y suelo cáustico si lo envenena.","Alchemist's Mark\r\nสาปศัตรูตัวเดียว ทำให้มันให้ชาร์จขวดยาเมื่อถูกปะทะ การปะทะเป้าหมายที่ถูกสาปที่สร้างสถานะ ลุกไหม้ จะสร้าง พื้นลุกไหม้ ข้างใต้มัน ส่วนการปะทะต่อมันที่สร้างสถานะ พิษ จะสร้าง พื้นกัดกร่อน ข้างใต้มัน","詛咒一個敵人，在擊中它時賦予藥劑充能，且若擊中時造成點燃，會在目標腳下產生燃燒地面；若擊中時造成中毒，則會產生腐蝕地面。",24,100,"",24179,""
148,2035,2,"[120,121,122,126,127,128,96,97,98,77,78,79,0,1,142,55,56,57,74,22,199,256]",2036,"Burning Arrow","Flèche incendiaire","Brennender Pfeil","バーニングアロー","불타는 화살","Flecha Ardente","Горящая стрела","Flecha ardiente","ศรไฟ","燃燒箭矢","Fires a burning arrow that deals fire damage and has a chance to ignite.","Tire une flèche enflammée qui inflige des dégâts de feu et a des chances d'Embraser la cible.","Feuert einen brennenden Pfeil, der Feuerschaden verursacht und eine Chance hat, Gegner zu entzünden.","火ダメージを与え、発火させる確率を持つ燃える矢を放つ。","불타는 화살을 발사하여 화염 피해를 주고 일정 확률로 점화를 유발합니다.","Dispara uma flecha flamejante que causa dano de fogo e pode incendiar.","Выпускает горящую стрелу, которая наносит урон от огня и имеет шанс поджечь.","Dispara una flecha ardiente que inflige daño de fuego y tiene una probabilidad de quemar.","Burning Arrow\r\nยิงศรไฟที่สร้างความเสียหาย ไฟ และมีโอกาสสร้างสถานะ ลุกไหม้","發射一支燃燒箭矢並造成火焰傷害，且有機率造成點燃。",1,100,"",34665,""
