"rownum","Id","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","BestiaryRecipeComponentKeys","Notes (English)","Notes (French)","Notes (German)","Notes (Japanese)","Notes (Korean)","Notes (Portuguese)","Notes (Russian)","Notes (Spanish)","Notes (Thai)","Notes (Traditional Chinese)","Category","bool","Achievements","bool","i32","i32","i32","FlaskMod"
0,"EinharMasterCraft1","A Stack of 8 Chromatic Orbs","8 Orbes chromatiques","Einen Stapel mit 8 Färbungssphären","色彩のオーブ8個","색채의 오브 8개 중첩","Uma Pilha de 8 Orbes Cromáticos","Стопка из 8 цветных сфер","Una pila de 8 Orbes cromáticos","Chromatic Orb 8 ชิ้น","1 個堆疊 8 個的幻色石",[16],"","","","","","","","","","",0,"",[8667],1,0,1,1,""
1,"EinharMasterCraft2","A Stack of 4 Jeweller's Orbs","4 Orbes de joaillier","Einen Stapel mit 4 Sphären des Goldschmieds","宝飾職人のオーブ4個","쥬얼러 오브 4개 중첩","Uma Pilha de 4 Orbes do Joalheiro","Стопка из 4 сфер златокузнеца","Una pila de 4 Orbes de joyero","Jeweller's Orb 4 ชิ้น","1 個堆疊 4 個的工匠石",[32],"","","","","","","","","","",0,"",[8667],1,0,1,1,""
2,"EinharMasterCraft3","Orb of Fusing","1 Orbe de fusion","Verbindungssphäre","結合のオーブ","연결의 오브","Orbe da Fusão","Сфера соединения","Orbe de fusión","Orb of Fusing","鏈結石",[31],"","","","","","","","","","",0,"",[8667],1,0,1,1,""
3,"EinharMasterCraft4","Item","au hasard","Gegenstand","アイテム","아이템","Item","Предмет","Objeto","ไอเทม","道具",[33],"","","","","","","","","","",1,"",[8667],1,0,1,1,""
4,"EinharMasterCraft5","Ring","une Bague ou un Anneau","Ring","指輪","반지","Anel","Кольцо","Anillo","แหวน","戒指",[1],"","","","","","","","","","",1,"",[8667],1,0,1,1,""
5,"EinharMasterCraft6","Amulet","une Amulette","Amulett","アミュレット","목걸이","Amuleto","Амулет","Amuleto","สร้อย","項鍊",[4],"","","","","","","","","","",1,"",[8667],1,0,1,1,""
6,"EinharMasterCraft7","Belt","une Ceinture","Gürtel","ベルト","허리띠","Cinto","Пояс","Cinturón","เข็มขัด","腰帶",[5],"","","","","","","","","","",1,"",[8667],1,0,1,1,""
7,"EinharMasterCraft8","Flask","un Flacon","Fläschchen","フラスコ","플라스크","Frasco","Флакон","Frasco","ขวดยา","藥劑",[6],"","","","","","","","","","",1,"",[8667],1,0,1,1,""
8,"EinharMasterCraft9","Helmet","un Casque","Helm","兜","투구","Elmo","Шлем","Casco","หมวก","頭盔",[10],"","","","","","","","","","",1,"",[8667],1,0,1,1,""
9,"EinharMasterCraft10","Body Armour","une Armure","Körperrüstung","鎧","갑옷","Peitoral","Нательный доспех","Armadura","เสื้อเกราะ","胸甲",[11],"","","","","","","","","","",1,"",[8667],1,0,1,1,""
10,"EinharMasterCraft11","Boots","des Bottes","Stiefel","靴","장화","Botas","Сапоги","Botas","รองเท้า","鞋子",[14],"","","","","","","","","","",1,"",[8667],1,0,1,1,""
11,"EinharMasterCraft12","Gloves","des Gants","Handschuhe","手袋","장갑","Luvas","Перчатки","Guantes","ถุงมือ","手套",[26],"","","","","","","","","","",1,"",[8667],1,0,1,1,""
12,"EinharMasterCraft13","Talisman","un Talisman","Talisman","タリスマン","부적","Talismã","Талисман","Talismán","เครื่องราง","魔符",[29],"","","","","","","","","","",2,"",[8667],1,0,1,1,""
13,"EinharMasterCraft14","Claw or Dagger","une Griffe ou une Dague","Klaue oder Dolch","鉤爪または短剣","클로 / 단검","Garra ou Adaga","Коготь или кинжал","Garra o daga","กรงเล็บหรือมีด","爪或匕首",[30],"","","","","","","","","","",1,"",[8667],1,0,1,1,""
14,"EinharMasterCraft15","Mace or Sceptre","une Masse ou un Sceptre","Streitkolben oder Zepter","メイスまたはセプター","철퇴 / 셉터","Maça ou Cetro","Булава или скипетр","Maza o cetro","กระบองหรือคทา","錘或權杖",[18],"","","","","","","","","","",1,"",[8667],1,0,1,1,""
15,"EinharMasterCraft16","Shield or Quiver","un Bouclier ou un Carquois","Schild oder Köcher","盾または矢筒","방패 / 화살통","Escudo ou Aljava","Щит или колчан","Escudo o carcaj","โล่หรือซองธนู","盾或箭袋",[23],"","","","","","","","","","",1,"",[8667],1,0,1,1,""
16,"EinharMasterCraft17","Sword or Axe","une Épée ou une Hache","Schwert oder Axt","剣または斧","검 또는 도끼","Espada ou Machado","Меч или топор","Espada o hacha","ดาบหรือขวาน","劍或斧",[19],"","","","","","","","","","",1,"",[8667],1,0,1,1,""
17,"EinharMasterCraft18","Staff","un Bâton","Stab","スタッフ","지팡이","Cajado","Посох","Báculo","ไม้พลอง","長杖",[21],"","","","","","","","","","",1,"",[8667],1,0,1,1,""
18,"EinharMasterCraft20","Bow","un Arc","Bogen","弓","활","Arco","Лук","Arco","ธนู","弓",[13],"","","","","","","","","","",1,"",[8667],1,0,1,1,""
19,"EinharMasterCraft21","Wand","une Baguette","Zauberstab","ワンド","마법봉","Varinha","Жезл","Varita","ไม้กายสิทธิ์","法杖",[22],"","","","","","","","","","",1,"",[8667],1,0,1,1,""
20,"EinharMasterCraft22","Map","une Carte","Karte","マップ","지도","Mapa","Карта","Mapa","แผนที่","地圖",[12],"","","","","","","","","","",1,"",[8667],1,0,1,1,""
21,"EinharMasterCraft23","23% Quality Corrupted Gem","une Gemme corrompue avec 23% de Qualité","Verderbte Gemme mit 23% Qualität","品質23%コラプト状態ジェム","23% 퀄리티 타락 젬","Gema Corrompida com 23% de Qualidade","Осквернённый камень с 23% качества","Gema corrupta con 23% de calidad","หินที่มีมลทินและมีค่าคุณภาพ 23%","23% 品質的已汙染寶石",[8],"","","","","","","","","","",3,"",[8667],"",1,1,1,""
22,"EinharMasterCraft24","Level 21 Corrupted Gem","une Gemme corrompue de Niveau 21","Verderbte Gemme der Stufe 21","レベル21コラプト状態ジェム","21레벨 타락 젬","Gema Corrompida Nível 21","Осквернённый камень 21 уровня","Gema corrupta de nivel 21","หินที่มีมลทินเลเวล 21","等級 21 的已汙染寶石",[9],"","","","","","","","","","",3,"",[8667],"",1,1,1,""
23,"EinharMasterCraft25","Fully-linked Six-socket Rare","un Objet rare avec 6 Châsses reliées entre elles","Selten, mit 6 verbundenen Fassungen","6リンクソケットレアアイテム","6홈 희귀 (전체 연결)","Raro com Seis Encaixes Completamente Conectados","Редкий предмет с 6-ю соединенными гнёздами","Objeto raro con 6 engarces totalmente vinculados","แรร์ 6 รู 6 เชื่อม","六洞六連稀有",[15],"","","","","","","","","","",3,"",[8667],"",1,1,1,""
24,"EinharMasterCraft26","A Stack of 10 Random Currency","un Ensemble de 10 Objets monétaires au hasard","Einen 10er-Stapel zufälliger Währung","ランダムなカレンシー10個","무작위 화폐 10개 중첩","Uma Pilha de 10 Itens Monetários","Случайную валюту в стопке из 10 штук","Una pila de 10 objetos monetarios aleatorios","เงินตราแบบสุ่ม 10 ชิ้น","隨機 1 個堆疊 10 個的通貨",[20],"","","","","","","","","","",0,"",[8667],"",1,1,1,""
25,"EinharMasterCraft27","Of a Magic Item","d'un Objet magique","eines magischen Gegenstands","マジックアイテム","마법 아이템","De um Item Mágico","Волшебного предмета","de un objeto mágico","ของไอเทมเมจิก","的魔法物品",[36],"","","","","","","","","","",4,"",[8667],"",1,1,1,""
26,"EinharMasterCraft28","To have 30% Quality","et lui donner 30% de Qualité","um ihn mit 30% Qualität auszustatten","品質30%を付与","30% 퀄리티를 가짐","Para ter 30% de Qualidade","Чтобы получить 30% качества","para que tenga 30% de calidad","ให้มีค่าคุณภาพ 30%","變成 30% 品質",[28],"Only works on armour and weapons","Ne fonctionne que sur les armes et les pièces d'armure","Funktioniert nur mit Rüstungen und Waffen","武器または防具にのみ適用可能","방어구 또는 무기에만 적용","Só funciona em armaduras e armas","Работает только на доспехах и оружии","Solo funciona en armaduras y armas","เฉพาะเกราะและอาวุธเท่านั้น","只能使用於護甲和武器",5,"",[8667],"",1,1,1,""
27,"EinharMasterCraft29","From a Gilded Scarab to a Winged Scarab","d'un Scarabée doré à un Scarabée ailé","Von einem vergoldeten in einen geflügelten Skarabäus","金色のスカラベを羽の生えたスカラベに変換","도금된 갑충석에서 날개 달린 갑충석으로","De um Escaravelho Dourado para um Escaravelho Alado","Преобразует золоченого скарабея в крылатого","De un escarabajo dorado a un escarabajo alado","จาก สคารับเคลือบทอง ให้เป็น สคารับติดปีก","鍍金的聖甲蟲至展翅的聖甲蟲",[2],"Scarab will be of the same type","Le Scarabée sera du même type","Der Skarabäus wird vom gleichen Typ sein","同じタイプのスカラベになる","갑충석의 유형은 동일","Escaravelho será do mesmo tipo","Скарабей будет того же типа","El escarabajo será del mismo tipo","สคารับจะเป็นชนิดเดียวกัน","聖甲蟲為同類型",6,"",[8667],"",1,1,1,""
28,"EinharMasterCraft30","Add a Suffix, Remove a Random Prefix","pour lui donner un Suffixe et retirer un Préfixe au hasard","Fügt ein Suffix hinzu und entfernt ein zufälliges Präfix","サフィックスを1つ追加し、ランダムなプレフィックスを1つ削除","접미어 추가, 무작위 접두어 제거","Adiciona um Sufixo, Remove um Prefixo Aleatório","Добавить суффикс, удалить случайный префикс","Agrega un sufijo, elimina un prefijo aleatorio","ใส่ ม็อดซัฟฟิกซ์ 1 อย่าง แต่สุ่มลบ ม็อดพรีฟิกซ์ 1 อย่าง","增加 1 個後綴，隨機移除 1 個前綴",[3],"Only works on rare items","Ne fonctionne qu'avec les Objets rares","Funktioniert nur mit seltenen Gegenständen","レアアイテムにのみ適用可能","희귀 아이템에만 적용","Funciona apenas em itens raros","Работает только на редких предметах","Solo funciona en objetos raros","เฉพาะไอเทมแรร์เท่านั้น","只能使用於稀有物品",7,"",[8667],"",1,1,1,""
29,"EinharMasterCraft31","Add a Prefix, Remove a Random Suffix","pour lui donner un Préfixe et retirer un Suffixe au hasard","Fügt ein Präfix hinzu und entfernt ein zufälliges Suffix","プレフィックスを1つ追加し、ランダムなサフィックスを1つ削除","접두어 추가, 무작위 접미어 제거","Adiciona um Prefixo, Remove um Sufixo Aleatório","Добавить префикс, удалить случайный суффикс","Agrega un prefijo, elimina un sufijo aleatorio","ใส่ ม็อดพรีฟิกซ์ 1 อย่าง แต่สุ่มลบ ม็อดซัฟฟิกซ์ 1 อย่าง","增加 1 個前綴，隨機移除 1 個後綴",[7],"Only works on rare items","Ne fonctionne qu'avec les Objets rares","Funktioniert nur mit seltenen Gegenständen","レアアイテムにのみ適用可能","희귀 아이템에만 적용","Funciona apenas em itens raros","Работает только на редких предметах","Solo funciona en objetos raros","เฉพาะไอเทมแรร์เท่านั้น","只能使用於稀有物品",7,"",[8667],"",1,1,1,""
30,"EinharMasterCraft32","With Half the Mods on Each Item","et répartir les mods sur chaque moitié","mit je der Hälfte der Modifikatoren auf beiden Gegenständen","それぞれのアイテムは半分のモッドを持つ","각 아이템에 속성 부여 절반 적용","Com Metade dos Mods em Cada Item","С половиной свойств на каждом предмете","con la mitad de mods. en cada objeto","แต่ละไอเทมจะมีม็อดครึ่งหนึ่ง","每件物品有一半的詞綴",[24],"Does not work on Influenced or Split items","Ne fonctionne pas sur les Objets Influencés ou Scindés","Funktioniert nicht mit beeinflussten oder geteilten Gegenständen","インフルエンスアイテムおよびスプリットアイテムには適用できない","영향을 받은 아이템 또는 분할된 아이템에는 적용 불가","Não funciona em itens Influenciados ou Divididos","Не работает с разделёнными предметами и предметами с влияниями","No funciona en objetos Influenciados ni Divididos","ไม่สามารถใช้งานกับไอเทมที่มีอิทธิพลหรือไอเทมที่ถูกแยกได้","勢力或分裂之物無法套用",8,"",[8667],"",1,1,1,""
31,"EinharMasterCraft33","Into Another Random Unique Item","en un autre Objet unique au hasard","in einen anderen zufälligen einzigartigen Gegenstand","他のユニークアイテムに変換","다른 무작위 고유 아이템으로","Em Outro Item Único Aleatório","В другой случайный уникальный предмет","en otro objeto único aleatorio","เป็นไอเทมยูนิคแบบสุ่ม","變成其他隨機傳奇物品",[27],"","","","","","","","","","",9,"",[8667],"",1,1,1,""
32,"EinharMasterCraftFlask1","Adds \""of Convection\""","le mod « de la Convection »","Fügt 'der Konvektion' hinzu","「対流の」を追加","\""- 대류\"" 추가","Adiciona \""da Convecção\""","Свойство \""конвекции\""","Agrega \""de Convección\""","เพิ่มม็อด \""of Convection\""","增加「對流之」",[184],"Requires Flask to have no existing Suffix","Ne fonctionne qu'avec les Flacons dépourvus de Suffixe","Erfordert ein Fläschchen ohne Suffix","サフィックスを持たないフラスコが必要","현재 플라스크에 접미어가 없어야 함","Exige que o Frasco não possua nenhum Sufixo existente","На флаконе не должно быть суффикса","Requiere que el frasco no tenga sufijos existentes","ขวดยาจะต้องไม่มี ม็อดซัฟฟิกซ์","藥劑要沒有後綴",10,"",[8667],"",1,0,1,26530
33,"EinharMasterCraftFlask2","Adds \""of Damping\""","le mod « de l'Humidité »","Fügt 'der Befeuchtung' hinzu","「湿気りの」を追加","\""- 적시기\"" 추가","Adiciona \""do Amortecimento\""","Свойство \""увлажнения\""","Agrega \""de Humectación\""","เพิ่มม็อด \""of Damping\""","增加「阻尼之」",[184],"Requires Flask to have no existing Suffix","Ne fonctionne qu'avec les Flacons dépourvus de Suffixe","Erfordert ein Fläschchen ohne Suffix","サフィックスを持たないフラスコが必要","현재 플라스크에 접미어가 없어야 함","Exige que o Frasco não possua nenhum Sufixo existente","На флаконе не должно быть суффикса","Requiere que el frasco no tenga sufijos existentes","ขวดยาจะต้องไม่มี ม็อดซัฟฟิกซ์","藥劑要沒有後綴",10,"",[8667],"",1,0,1,26534
34,"EinharMasterCraftFlask3","Adds \""of Sealing\""","le mod « du Scellement »","Fügt 'der Versiegelung' hinzu","「防水の」を追加","\""- 봉인\"" 추가","Adiciona \""da Selagem\""","Свойство \""закупорки\""","Agrega \""de Sellado\""","เพิ่มม็อด \""of Sealing\""","增加「密封之」",[184],"Requires Flask to have no existing Suffix","Ne fonctionne qu'avec les Flacons dépourvus de Suffixe","Erfordert ein Fläschchen ohne Suffix","サフィックスを持たないフラスコが必要","현재 플라스크에 접미어가 없어야 함","Exige que o Frasco não possua nenhum Sufixo existente","На флаконе не должно быть суффикса","Requiere que el frasco no tenga sufijos existentes","ขวดยาจะต้องไม่มี ม็อดซัฟฟิกซ์","藥劑要沒有後綴",10,"",[8667],"",1,0,1,26522
35,"EinharMasterCraftFlask4","Adds \""of Earthing\""","le mod « de la Terre »","Fügt 'der Nullung' hinzu","「避雷の」を追加","\""- 땅\"" 추가","Adiciona \""do Aterramento\""","Свойство \""замыкания\""","Agrega \""de Terrenidad\""","เพิ่มม็อด \""of Earthing\""","增加「接地之」",[184],"Requires Flask to have no existing Suffix","Ne fonctionne qu'avec les Flacons dépourvus de Suffixe","Erfordert ein Fläschchen ohne Suffix","サフィックスを持たないフラスコが必要","현재 플라스크에 접미어가 없어야 함","Exige que o Frasco não possua nenhum Sufixo existente","На флаконе не должно быть суффикса","Requiere que el frasco no tenga sufijos existentes","ขวดยาจะต้องไม่มี ม็อดซัฟฟิกซ์","藥劑要沒有後綴",10,"",[8667],"",1,0,1,26526
36,"EinharMasterCraftFlask5","Adds \""of the Antitoxin\""","le mod « de l'Antitoxine »","Fügt 'des Antidots' hinzu","「耐毒剤の」を追加","\""- 항독소\"" 추가","Adiciona \""da Antitoxina\""","Свойство \""сыворотки\""","Agrega \""de la Antitoxina\""","เพิ่มม็อด \""of the Antitoxin\""","增加「抗毒素之」",[184],"Requires Flask to have no existing Suffix","Ne fonctionne qu'avec les Flacons dépourvus de Suffixe","Erfordert ein Fläschchen ohne Suffix","サフィックスを持たないフラスコが必要","현재 플라스크에 접미어가 없어야 함","Exige que o Frasco não possua nenhum Sufixo existente","На флаконе не должно быть суффикса","Requiere que el frasco no tenga sufijos existentes","ขวดยาจะต้องไม่มี ม็อดซัฟฟิกซ์","藥劑要沒有後綴",10,"",[8667],"",1,0,1,26538
37,"EinharMasterCraftFlask6","Adds \""of Warding\""","le mod « de la Préservation »","Fügt 'des Schutzes' hinzu","「守衛の」を追加","\""- 수호\"" 추가","Adiciona \""da Vigília\""","Свойство \""оберега\""","Agrega \""de Custodia\""","เพิ่มม็อด \""of Warding\""","增加「守護之」",[184],"Requires Flask to have no existing Suffix","Ne fonctionne qu'avec les Flacons dépourvus de Suffixe","Erfordert ein Fläschchen ohne Suffix","サフィックスを持たないフラスコが必要","현재 플라스크에 접미어가 없어야 함","Exige que o Frasco não possua nenhum Sufixo existente","На флаконе не должно быть суффикса","Requiere que el frasco no tenga sufijos existentes","ขวดยาจะต้องไม่มี ม็อดซัฟฟิกซ์","藥劑要沒有後綴",10,"",[8667],"",1,0,1,6329
38,"EinharMasterCraftFlask7","Adds \""of the Lizard\""","le mod « du Lézard »","Fügt 'der Echse' hinzu","「トカゲの」を追加","\""- 도마뱀\"" 추가","Adiciona \""do Lagarto\""","Свойство \""ящерицы\""","Agrega \""de la Lagartija\""","เพิ่มม็อด \""of the Lizard\""","增加「蜥蜴之」",[184],"Requires Flask to have no existing Suffix","Ne fonctionne qu'avec les Flacons dépourvus de Suffixe","Erfordert ein Fläschchen ohne Suffix","サフィックスを持たないフラスコが必要","현재 플라스크에 접미어가 없어야 함","Exige que o Frasco não possua nenhum Sufixo existente","На флаконе не должно быть суффикса","Requiere que el frasco no tenga sufijos existentes","ขวดยาจะต้องไม่มี ม็อดซัฟฟิกซ์","藥劑要沒有後綴",11,"",[8667],"",1,0,1,26558
39,"EinharMasterCraftFlask8","Adds \""of the Skunk\""","le mod « du Putois »","Fügt 'des Stinktiers' hinzu","「スカンクの」を追加","\""- 스컹크\"" 추가","Adiciona \""do Jaguaré\""","Свойство \""скунса\""","Agrega \""de la Mofeta\""","เพิ่มม็อด \""of the Skunk\""","增加「臭鼬之」",[184],"Requires Flask to have no existing Suffix","Ne fonctionne qu'avec les Flacons dépourvus de Suffixe","Erfordert ein Fläschchen ohne Suffix","サフィックスを持たないフラスコが必要","현재 플라스크에 접미어가 없어야 함","Exige que o Frasco não possua nenhum Sufixo existente","На флаконе не должно быть суффикса","Requiere que el frasco no tenga sufijos existentes","ขวดยาจะต้องไม่มี ม็อดซัฟฟิกซ์","藥劑要沒有後綴",11,"",[8667],"",1,0,1,26546
40,"EinharMasterCraftFlask9","Adds \""of the Conger\""","le mod « du Congre »","Fügt 'des Meeraals' hinzu","「アナゴの」を追加","\""- 붕장어\"" 추가","Adiciona \""do Congro\""","Свойство \""угря\""","Agrega \""del Congrio\""","เพิ่มม็อด \""of the Conger\""","增加「康吉鰻之」",[184],"Requires Flask to have no existing Suffix","Ne fonctionne qu'avec les Flacons dépourvus de Suffixe","Erfordert ein Fläschchen ohne Suffix","サフィックスを持たないフラスコが必要","현재 플라스크에 접미어가 없어야 함","Exige que o Frasco não possua nenhum Sufixo existente","На флаконе не должно быть суффикса","Requiere que el frasco no tenga sufijos existentes","ขวดยาจะต้องไม่มี ม็อดซัฟฟิกซ์","藥劑要沒有後綴",11,"",[8667],"",1,0,1,26549
41,"EinharMasterCraftFlask10","Adds \""of the Deer\""","le mod « du Cerf »","Fügt 'des Rehs' hinzu","「鹿の」を追加","\""- 사슴\"" 추가","Adiciona \""do Cervo\""","Свойство \""оленя\""","Agrega \""del Ciervo\""","เพิ่มม็อด \""of the Deer\""","增加「鹿之」",[184],"Requires Flask to have no existing Suffix","Ne fonctionne qu'avec les Flacons dépourvus de Suffixe","Erfordert ein Fläschchen ohne Suffix","サフィックスを持たないフラスコが必要","현재 플라스크에 접미어가 없어야 함","Exige que o Frasco não possua nenhum Sufixo existente","На флаконе не должно быть суффикса","Requiere que el frasco no tenga sufijos existentes","ขวดยาจะต้องไม่มี ม็อดซัฟฟิกซ์","藥劑要沒有後綴",11,"",[8667],"",1,0,1,26552
42,"EinharMasterCraftFlask11","Adds \""of the Urchin\""","le mod « de l'Oursin »","Fügt 'des Seeigels' hinzu","「ウニの」を追加","\""- 성게\"" 추가","Adiciona \""do Ouriço-do-mar\""","Свойство \""морского ежа\""","Agrega \""del Erizo de mar\""","เพิ่มม็อด \""of the Urchin\""","增加「海膽之」",[184],"Requires Flask to have no existing Suffix","Ne fonctionne qu'avec les Flacons dépourvus de Suffixe","Erfordert ein Fläschchen ohne Suffix","サフィックスを持たないフラスコが必要","현재 플라스크에 접미어가 없어야 함","Exige que o Frasco não possua nenhum Sufixo existente","На флаконе не должно быть суффикса","Requiere que el frasco no tenga sufijos existentes","ขวดยาจะต้องไม่มี ม็อดซัฟฟิกซ์","藥劑要沒有後綴",11,"",[8667],"",1,0,1,26555
43,"EinharMasterCraft34","to Farrul's Den","la Tanière de Farrul","zu Farruls Höhle","ファルウルの巣穴","페룰의 굴","para o Covil de Farrul","в берлогу Фаррул","a la Guarida de Farrul","ไปยัง ถ้ำสัตว์ของฟาร์รุล","到費爾羅的巢窟",[0],"","","","","","","","","","",12,"",[8667],"",1,1,1,""
44,"EinharMasterCraft35","to Saqawal's Roost","le Perchoir de Saqawal","zu Saqawals Schlafplatz","サカワルのねぐら","사카왈의 보금자리","para o Galinheiro de Saqawal","в гнездо Сакаваля","al Nido de Saqawal","ไปยัง คอนของซาคาวาล","到斯卡沃的棲地",[17],"","","","","","","","","","",12,"",[8667],"",1,1,1,""
45,"EinharMasterCraft36","to Fenumus' Lair","l'Antre de Fénumus","zu Fenumus Versteck","フィヌムスの巣","페누무스의 소굴","para a Toca de Fenumus","в логово Фенумы","a la Madriguera de Fenumus","ไปยัง ถ้ำมืดของเฟนูมัส","到菲恩絲的獸穴",[25],"","","","","","","","","","",12,"",[8667],"",1,1,1,""
